Time_5ug/ml_5,5ug/ml_5,Time_5ug/ml_6,5ug/ml_6,Time_10ug/ml_8,10ug/ml_8,Time_10ug/ml_9,10ug/ml_9,Time_50ug/ml_11,50ug/ml_11,Time_50ug/ml_12,50ug/ml_12,Time_100ug/ml_14,100ug/ml_14,Time_100ug/ml_15,100ug/ml_15,Time_200ug/ml_17,200ug/ml_17,Time_200ug/ml_18,200ug/ml_18,Time_1000ug/ml_20,1000ug/ml_20,Time_1000ug/ml_21,1000ug/ml_21,Time_1500ug/ml_23,1500ug/ml_23,Time_1500ug/ml_24,1500ug/ml_24
56.0,0.005370451217860728,56,0.0051739891838165075,56.0,0.006361863639102294,56.0,0.006784562785058679,56.0,0.012703597089512186,56.0,0.013078810178561495,56.0,0.021350551054805766,56.0,0.021697141265361486,56.0,0.03428718398676067,56.0,0.035211193450141565,56,0.047415805720885995,56.0,0.046330183391292135,56,0.04933752010329062,56.0,0.04919013926971871
58.0,0.0052797755336695396,58,0.00481182085781251,58.0,0.006244184447204315,58.0,0.006704091932703049,58.0,0.013117170452092708,58.0,0.012635051591649127,58.0,0.021847770402558364,58.0,0.022017477089038007,58.0,0.03485296259826964,58.0,0.035411905475657646,58,0.047655979179341834,58.0,0.04657081989890277,58,0.04940879388868957,58.0,0.04933000090722728
60.0,0.0053164266765677315,60,0.005018824691871204,60.0,0.00654393436644507,60.0,0.007304120697957162,60.0,0.01304724444008798,60.0,0.013054726839399011,60.0,0.022376588172889678,60.0,0.022203564079624982,60.0,0.03516743044133652,60.0,0.035376348835198135,60,0.04764811460358365,60.0,0.04732571166933908,60,0.050433745501051064,60.0,0.04959282095598527
62.0,0.005529713996596852,62,0.004653735302817763,62.0,0.006392930358791737,62.0,0.006695273896474729,62.0,0.013140740411197172,62.0,0.013152192291780107,62.0,0.02312951887094017,62.0,0.02226746939584978,62.0,0.03541354057019763,62.0,0.03574561711046642,62,0.04765378198320458,62.0,0.04724280446445661,62,0.049346331538545396,62.0,0.04967513633348197
64.0,0.00569850502121283,64,0.004597027337696513,64.0,0.006455409511469945,64.0,0.006733124773357968,64.0,0.013324547796347508,64.0,0.013353704880891382,64.0,0.023396820073147806,64.0,0.022585674855837068,64.0,0.035480993237078984,64.0,0.03638725569230283,64,0.04799698170705202,64.0,0.04779261164505133,64,0.05025833919469047,64.0,0.050280533587740095
66.0,0.005864974067710582,66,0.0048515854945987424,66.0,0.006460004328643132,66.0,0.007022107939382405,66.0,0.013606318663451633,66.0,0.013300038501148803,66.0,0.023768827325087116,66.0,0.023519247246439834,66.0,0.03616628725029858,66.0,0.03696698948538413,66,0.047985384626849426,66.0,0.048371863277629545,66,0.05059614809581836,66.0,0.050614322872870154
68.0,0.005783790400023747,68,0.004810166448640629,68.0,0.006136592881434311,68.0,0.007163171576187954,68.0,0.013618360915442107,68.0,0.01378963258531729,68.0,0.023846587783702633,68.0,0.023064239320357727,68.0,0.03619939509230918,68.0,0.03737284837711807,68,0.04842750509043925,68.0,0.048060320761812214,68,0.050478643232123366,68.0,0.05038847667721069
70.0,0.005541385917462671,70,0.004917825382708241,70.0,0.006565448593087053,70.0,0.006887716563335866,70.0,0.014062125379927126,70.0,0.013917506770352528,70.0,0.02372050196841169,70.0,0.02422821655840135,70.0,0.03693428007975208,70.0,0.03736297641288133,70,0.04838353273895879,70.0,0.047878479996940726,70,0.05069207049968094,70.0,0.05032218463576266
72.0,0.005837671610813944,72,0.004891959729215634,72.0,0.006784026739436566,72.0,0.007390749366432026,72.0,0.014092727533172367,72.0,0.014145882722732539,72.0,0.024229123938217967,72.0,0.024161866097135665,72.0,0.0373804713478425,72.0,0.037538838240329664,72,0.04899488983550104,72.0,0.04856418147501462,72,0.05103920442308252,72.0,0.050755555838391864
74.0,0.005612616584857566,74,0.005295316319136489,74.0,0.006232033816332194,74.0,0.007091191474210445,74.0,0.013851059361563278,74.0,0.013777203049906595,74.0,0.024519919576504234,74.0,0.024172887213860683,74.0,0.03721919768786397,74.0,0.038138866709789276,74,0.04901201244099451,74.0,0.04844031515302727,74,0.051494359094374165,74.0,0.051097501092716824
76.0,0.005338187091839197,76,0.005038206920243704,76.0,0.006425611780135565,76.0,0.007295162976532987,76.0,0.013949347722802319,76.0,0.01417003746029466,76.0,0.0246666073398627,76.0,0.02446846107533962,76.0,0.037846138710174726,76.0,0.037967342814619,76,0.04909024667291351,76.0,0.048451778810848056,76,0.051444593261630756,76.0,0.050996468188914346
78.0,0.005358061987805751,78,0.004838240498112656,78.0,0.006663183767803282,78.0,0.007180125861247388,78.0,0.014496034440998784,78.0,0.01448813425792661,78.0,0.025379654662274875,78.0,0.025086963150532826,78.0,0.037928643271517126,78.0,0.038720601789370646,78,0.04908367906165978,78.0,0.04872062240590447,78,0.05088881838333292,78.0,0.05119892366759782
80.0,0.005617152035108042,80,0.004570464024062915,80.0,0.006695112023411776,80.0,0.007301880420230944,80.0,0.014402370526758412,80.0,0.01442958784367021,80.0,0.025240549605261897,80.0,0.025344286352501078,80.0,0.03824588512605054,80.0,0.03882201821289,80,0.04947634339526519,80.0,0.0487922028052421,80,0.05136508924924876,80.0,0.05108033123153488
82.0,0.0059407456631976885,82,0.005110161741622932,82.0,0.0066696664502201575,82.0,0.007544926788797257,82.0,0.014911452927542701,82.0,0.014878446489106745,82.0,0.025412265916785026,82.0,0.02582678701985719,82.0,0.03873769071240418,82.0,0.039386231612128064,82,0.04954218231275265,82.0,0.04901839790120732,82,0.05168807586537949,82.0,0.05157056989766784
84.0,0.0058811563990364135,84,0.004917057601039332,84.0,0.006544531926696573,84.0,0.007219886748500937,84.0,0.014628410386687607,84.0,0.014939030960185784,84.0,0.026413158621722443,84.0,0.025710303644659316,84.0,0.03884487358640354,84.0,0.039353324912509535,84,0.04983275908641538,84.0,0.04873832562186742,84,0.051362498060079975,84.0,0.05192803818061087
86.0,0.005448766182516218,86,0.004571400793035307,86.0,0.006707844262072271,86.0,0.007484477955491675,86.0,0.0147437776031063,86.0,0.01509123671890178,86.0,0.02597176179069094,86.0,0.026064236347963288,86.0,0.03894063813718973,86.0,0.039704456541204136,86,0.05019365405240572,86.0,0.0494294873339578,86,0.05169320194235438,86.0,0.05220186627034584
88.0,0.005333338635061802,88,0.005005579863516241,88.0,0.006904592768157691,88.0,0.007043709472252857,88.0,0.014936289244728895,88.0,0.014786381786298985,88.0,0.026590783533669837,88.0,0.026201871364462948,88.0,0.03940741989565755,88.0,0.03934464040390773,88,0.04988104424436135,88.0,0.04945799187639954,88,0.05236773175457299,88.0,0.05199614193661972
90.0,0.005561200814695244,90,0.004837787615350475,90.0,0.006709611862945053,90.0,0.00718977718044278,90.0,0.014790907084729188,90.0,0.015251113768723012,90.0,0.02663327158766471,90.0,0.026473089722076182,90.0,0.03928587763852365,90.0,0.03976751307776549,90,0.050160360682772076,90.0,0.04970103694263295,90,0.05208446445172665,90.0,0.05185873887310488
92.0,0.00567160461958105,92,0.004751602979985892,92.0,0.006512807614582172,92.0,0.007343143310916123,92.0,0.01527594236682872,92.0,0.015363712676784047,92.0,0.027169530186649027,92.0,0.026649466330304294,92.0,0.03950603409717801,92.0,0.04014563047441433,92,0.0503533382031256,92.0,0.04990433937497607,92,0.05220933566556907,92.0,0.05194401880616817
94.0,0.005453968942096266,94,0.005089211877855382,94.0,0.007210806168051143,94.0,0.007384603147690294,94.0,0.01512440561058992,94.0,0.015071482638221001,94.0,0.02732844276708124,94.0,0.026794683559136834,94.0,0.03951539975310925,94.0,0.040143701000589616,94,0.05009610523151764,94.0,0.05026283247878105,94,0.052706740770011695,94.0,0.05180928353547065
96.0,0.005520874549782562,96,0.005102964176698643,96.0,0.007011613672392558,96.0,0.007360328653134962,96.0,0.0149681857820263,96.0,0.01553336615506451,96.0,0.027026546769703952,96.0,0.02701230176045666,96.0,0.04021094915360668,96.0,0.040465220270495816,96,0.05105483660809451,96.0,0.05002470161549355,96,0.052896865007872274,96.0,0.052353560206655825
98.0,0.005484308709288843,98,0.00490476876318513,98.0,0.006792659375093546,98.0,0.007275638521317518,98.0,0.015338080751110095,98.0,0.015236014721884406,98.0,0.027832935000316583,98.0,0.027023757331206433,98.0,0.04011235791078338,98.0,0.040883366223666506,98,0.050652910730249356,98.0,0.050180650598888876,98,0.052468952049046225,98.0,0.051789825439029435
100.0,0.005313486173875059,100,0.004836444246786087,100.0,0.00694752397036269,100.0,0.0075931513463578515,100.0,0.01516937419916009,100.0,0.01574788300318497,100.0,0.028043668305739233,100.0,0.028000844500196465,100.0,0.04052963829337708,100.0,0.040607597796229244,100,0.05087771204909308,100.0,0.050224136404970476,100,0.05286551408544704,100.0,0.052809437810362736
102.0,0.005252107895895364,102,0.004791357820622455,102.0,0.006709687563993372,102.0,0.007620213243683338,102.0,0.015370670479902593,102.0,0.015806185618243207,102.0,0.027698097106825248,102.0,0.027772074256634083,102.0,0.040816355021946915,102.0,0.040779718420879796,102,0.05120466898490661,102.0,0.05033691490701209,102,0.05228575859575724,102.0,0.052787555249817375
104.0,0.005069101198945214,104,0.0050566093760369135,104.0,0.0067869032524565664,104.0,0.007735619624162693,104.0,0.015364268390034352,104.0,0.015465806900606394,104.0,0.028418294009852074,104.0,0.02814009717686039,104.0,0.04118663408887602,104.0,0.04101412952907468,104,0.05115018687288919,104.0,0.05044737646079667,104,0.052843169910305576,104.0,0.052551429817976114
106.0,0.00535510011435969,106,0.004662457103135731,106.0,0.006848204477743147,106.0,0.007164586675406648,106.0,0.01565959656425009,106.0,0.015650349643065553,106.0,0.028551239396499506,106.0,0.028166841794332376,106.0,0.04096580478556744,106.0,0.041737562017165164,106,0.05092831683583743,106.0,0.05026269393693994,106,0.05282132964416353,106.0,0.05322121137705871
108.0,0.005310846560319771,108,0.004947155151585392,108.0,0.006997146804167631,108.0,0.0073247411152317365,108.0,0.015742508172073677,108.0,0.015917138711535994,108.0,0.029308823885840773,108.0,0.028417094320882796,108.0,0.041454592180046435,108.0,0.04158627290988237,108,0.050890642470418745,108.0,0.050739188193667184,108,0.05334406826206273,108.0,0.05266828037727267
110.0,0.005594404902925509,110,0.005197688169537029,110.0,0.007187085421296757,110.0,0.007569098597953072,110.0,0.016054257099104907,110.0,0.016109661255492735,110.0,0.02883126018150506,110.0,0.02835519812678733,110.0,0.04123186984530425,110.0,0.04141174707211803,110,0.0513582558389345,110.0,0.05094754042851557,110,0.05344189263937027,110.0,0.053258570784157744
112.0,0.005374002966259672,112,0.005326383598269979,112.0,0.007092614232875549,112.0,0.007193881707185934,112.0,0.016039989024483114,112.0,0.016426377169810547,112.0,0.029266567148539036,112.0,0.02830361029465278,112.0,0.04130769602773254,112.0,0.04202912974935602,112,0.05143115366293616,112.0,0.05044237709141819,112,0.053067244231335575,112.0,0.053266019033632706
114.0,0.005403652485570731,114,0.004778309744089659,114.0,0.007014126906975449,114.0,0.007290242441933659,114.0,0.01606159084365011,114.0,0.0164704551660122,114.0,0.029249781009530684,114.0,0.029205031020911765,114.0,0.04144526937117621,114.0,0.042139947053267734,114,0.05140310423046657,114.0,0.050889202027545544,114,0.05338351958748633,114.0,0.05343717747601762
116.0,0.005311525179634957,116,0.00466861870441404,116.0,0.0074693302146364715,116.0,0.007838702938388842,116.0,0.016275701479122162,116.0,0.016132021506697347,116.0,0.029290075980303643,116.0,0.028888770436527045,116.0,0.04158835981070319,116.0,0.04209440414736121,116,0.05181421354474458,116.0,0.05118756940822711,116,0.05387034929582768,116.0,0.05362690234092082
118.0,0.004889568981413905,118,0.005341443651691202,118.0,0.007004276253333552,118.0,0.007492063232508839,118.0,0.01611722891606915,118.0,0.01654893547705938,118.0,0.02961946716297703,118.0,0.02919457369059031,118.0,0.04175663641929073,118.0,0.04237090986304337,118,0.05164899806568335,118.0,0.051001225914355075,118,0.052944075589598905,118.0,0.05368433547409257
120.0,0.005300389832947117,120,0.004816703638812925,120.0,0.0071952126698020535,120.0,0.007353307813758647,120.0,0.016400605764518073,120.0,0.016950002001091535,120.0,0.030277912856916833,120.0,0.029766245577870443,120.0,0.04163565549474413,120.0,0.04270346818830073,120,0.051579903888817835,120.0,0.05148090800147531,120,0.05325273718046897,120.0,0.053579015967113675
